===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,DoubleSMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
385,,385,2020-01-17 00:00:00,8720.01,8743.99,8672.44,8690.31,1867.22,,DoubleSMACross,385,737441.0,Broker,385,100.7413646361833,11151.312548563637,BuySell,385,,,Trades - Net Profit/Loss,385,,
386,,386,2020-01-17 01:00:00,8690.31,8738.8,8677.01,8738.51,1081.75,,DoubleSMACross,386,737441.0416666666,Broker,386,100.7413646361833,11212.603518743677,BuySell,386,,,Trades - Net Profit/Loss,386,,
387,,387,2020-01-17 02:00:00,8738.51,8780.0,8718.16,8757.06,1911.79,,DoubleSMACross,387,737441.0833333334,Broker,387,100.7413646361833,11236.19164108475,BuySell,387,,,Trades - Net Profit/Loss,387,,
388,,388,2020-01-17 03:00:00,8757.06,8840.4,8751.05,8786.43,2818.19,,DoubleSMACross,388,737441.125,Broker,388,100.7413646361833,11273.53844179404,BuySell,388,,,Trades - Net Profit/Loss,388,,
389,,389,2020-01-17 04:00:00,8786.43,8815.86,8760.0,8815.29,1958.95,,DoubleSMACross,389,737441.1666666666,Broker,389,100.7413646361833,11310.236728088565,BuySell,389,,,Trades - Net Profit/Loss,389,,
390,,390,2020-01-17 05:00:00,8815.29,8896.89,8791.06,8891.25,4296.76,,DoubleSMACross,390,737441.2083333334,Broker,390,100.7413646361833,11406.827227982252,BuySell,390,,,Trades - Net Profit/Loss,390,,
391,,391,2020-01-17 06:00:00,8891.25,8997.0,8835.75,8862.7,7184.14,,DoubleSMACross,391,737441.25,Broker,391,100.7413646361833,11370.52313672416,BuySell,391,,,Trades - Net Profit/Loss,391,,
392,,392,2020-01-17 07:00:00,8862.7,8950.36,8843.01,8933.95,2513.28,,DoubleSMACross,392,737441.2916666666,Broker,392,100.7413646361833,11461.124415257931,BuySell,392,,,Trades - Net Profit/Loss,392,,
393,,393,2020-01-17 08:00:00,8933.95,8999.0,8899.26,8928.85,4295.43,,DoubleSMACross,393,737441.3333333334,Broker,393,100.7413646361833,11454.63927111025,BuySell,393,,,Trades - Net Profit/Loss,393,,
394,,394,2020-01-17 09:00:00,8928.85,8986.27,8924.3,8969.0,2312.1,,DoubleSMACross,394,737441.375,Broker,394,100.7413646361833,11505.693886312089,BuySell,394,,,Trades - Net Profit/Loss,394,,
395,,395,2020-01-17 10:00:00,8969.0,9041.65,8880.5,8937.0,5528.2,,DoubleSMACross,395,737441.4166666666,Broker,395,100.7413646361833,11465.002785777622,BuySell,395,,,Trades - Net Profit/Loss,395,,
396,,396,2020-01-17 11:00:00,8937.0,8962.28,8890.97,8903.45,2292.11,,DoubleSMACross,396,737441.4583333334,Broker,396,100.7413646361833,11422.340710061018,BuySell,396,,,Trades - Net Profit/Loss,396,,
397,,397,2020-01-17 12:00:00,8903.45,8919.41,8765.0,8811.54,4383.81,,DoubleSMACross,397,737441.5,Broker,397,100.7413646361833,11305.468239744681,BuySell,397,,,Trades - Net Profit/Loss,397,,
398,,398,2020-01-17 13:00:00,8811.54,8865.07,8800.0,8850.99,1876.17,,DoubleSMACross,398,737441.5416666666,Broker,398,100.7413646361833,11355.632737122327,BuySell,398,,,Trades - Net Profit/Loss,398,,
399,,399,2020-01-17 14:00:00,8850.99,8852.92,8769.42,8778.69,2337.04,,DoubleSMACross,399,737441.5833333334,Broker,399,100.7413646361833,11263.696281852268,BuySell,399,,,Trades - Net Profit/Loss,399,,
400,,400,2020-01-17 15:00:00,8778.69,8867.29,8774.0,8850.83,1827.74,,DoubleSMACross,400,737441.625,Broker,400,100.7413646361833,11355.429281619654,BuySell,400,,,Trades - Net Profit/Loss,400,,
401,,401,2020-01-17 16:00:00,8850.83,8923.88,8837.97,8875.96,2968.9,,DoubleSMACross,401,737441.6666666666,Broker,401,100.7413646361833,11387.384511508126,BuySell,401,,,Trades - Net Profit/Loss,401,,
402,,402,2020-01-17 17:00:00,8875.96,8919.42,8855.81,8890.97,1923.84,,DoubleSMACross,402,737441.7083333334,Broker,402,100.7413646361833,11406.471180852575,BuySell,402,,,Trades - Net Profit/Loss,402,,
403,,403,2020-01-17 18:00:00,8890.97,8954.49,8882.59,8920.12,2084.81,,DoubleSMACross,403,737441.75,Broker,403,100.7413646361833,11443.538230245693,BuySell,403,,,Trades - Net Profit/Loss,403,,
404,,404,2020-01-17 19:00:00,8920.12,8955.55,8813.0,8879.71,2909.97,,DoubleSMACross,404,737441.7916666666,Broker,404,100.7413646361833,11392.152999852009,BuySell,404,,,Trades - Net Profit/Loss,404,,
405,,405,2020-01-17 20:00:00,8879.71,8934.77,8861.66,8879.64,1786.33,,DoubleSMACross,405,737441.8333333334,Broker,405,100.7413646361833,11392.06398806959,BuySell,405,,,Trades - Net Profit/Loss,405,,
406,,406,2020-01-17 21:00:00,8879.64,8934.89,8874.82,8922.34,867.47,,DoubleSMACross,406,737441.875,Broker,406,100.7413646361833,11446.36117534527,BuySell,406,,,Trades - Net Profit/Loss,406,,
407,,407,2020-01-17 22:00:00,8922.34,8959.0,8901.0,8939.59,1650.55,,DoubleSMACross,407,737441.9166666666,Broker,407,11435.015555534561,11435.015555534561,BuySell,407,,9093.384999999998,Trades - Net Profit/Loss,407,253.9539976895534,
408,,408,2020-01-17 23:00:00,8939.59,8961.6,8905.49,8913.28,1711.93,,DoubleSMACross,408,737441.9583333334,Broker,408,11435.015555534561,11435.015555534561,BuySell,408,,,Trades - Net Profit/Loss,408,,
409,,409,2020-01-18 00:00:00,8913.28,8987.9,8855.55,8978.96,2300.02,,DoubleSMACross,409,737442.0,Broker,409,11435.015555534561,11435.015555534561,BuySell,409,,,Trades - Net Profit/Loss,409,,
410,,410,2020-01-18 01:00:00,8978.96,8988.88,8900.0,8941.33,1906.2,,DoubleSMACross,410,737442.0416666666,Broker,410,103.02949015536561,11376.251017013285,BuySell,410,8766.5,,Trades - Net Profit/Loss,410,,
411,,411,2020-01-18 02:00:00,8941.33,8947.63,8897.4,8921.21,1031.55,,DoubleSMACross,411,737442.0833333334,Broker,411,103.02949015536561,11350.883737523502,BuySell,411,,,Trades - Net Profit/Loss,411,,
412,,412,2020-01-18 03:00:00,8921.21,8948.57,8899.0,8925.99,997.82,,DoubleSMACross,412,737442.125,Broker,412,103.02949015536561,11356.910357601095,BuySell,412,,,Trades - Net Profit/Loss,412,,
413,,413,2020-01-18 04:00:00,8925.99,8926.95,8826.0,8843.82,2637.02,,DoubleSMACross,413,737442.1666666666,Broker,413,103.02949015536561,11253.310489028754,BuySell,413,,,Trades - Net Profit/Loss,413,,
414,,414,2020-01-18 05:00:00,8843.82,8872.3,8815.0,8845.19,2176.01,,DoubleSMACross,414,737442.2083333334,Broker,414,103.02949015536561,11255.03778390455,BuySell,414,,,Trades - Net Profit/Loss,414,,
415,,415,2020-01-18 06:00:00,8845.19,8876.48,8806.38,8864.72,1200.25,,DoubleSMACross,415,737442.25,Broker,415,103.02949015536561,11279.66119187848,BuySell,415,,,Trades - Net Profit/Loss,415,,
416,,416,2020-01-18 07:00:00,8864.72,8879.97,8838.0,8843.63,794.35,,DoubleSMACross,416,737442.2916666666,Broker,416,103.02949015536561,11253.070937184666,BuySell,416,,,Trades - Net Profit/Loss,416,,
417,,417,2020-01-18 08:00:00,8843.63,8870.0,8818.0,8856.43,938.31,,DoubleSMACross,417,737442.3333333334,Broker,417,103.02949015536561,11269.20916668115,BuySell,417,,,Trades - Net Profit/Loss,417,,
418,,418,2020-01-18 09:00:00,8856.43,8900.91,8850.0,8876.68,1422.87,,DoubleSMACross,418,737442.375,Broker,418,103.02949015536561,11294.740350064256,BuySell,418,,,Trades - Net Profit/Loss,418,,
419,,419,2020-01-18 10:00:00,8876.68,8919.0,8871.24,8887.09,1244.6,,DoubleSMACross,419,737442.4166666666,Broker,419,103.02949015536561,11307.865269521943,BuySell,419,,,Trades - Net Profit/Loss,419,,
420,,420,2020-01-18 11:00:00,8887.09,8890.0,8857.0,8879.79,1130.21,,DoubleSMACross,420,737442.4583333334,Broker,420,11296.660433742574,11296.660433742574,BuySell,420,,9023.349999999999,Trades - Net Profit/Loss,420,,-138.35512179198682
421,,421,2020-01-18 12:00:00,8879.79,8922.27,8876.76,8909.18,1693.2,,DoubleSMACross,421,737442.5,Broker,421,11296.660433742574,11296.660433742574,BuySell,421,,,Trades - Net Profit/Loss,421,,
422,,422,2020-01-18 13:00:00,8909.18,8949.0,8892.77,8919.97,2264.52,,DoubleSMACross,422,737442.5416666666,Broker,422,11296.660433742574,11296.660433742574,BuySell,422,,,Trades - Net Profit/Loss,422,,
423,,423,2020-01-18 14:00:00,8919.97,8963.99,8910.0,8922.59,1907.57,,DoubleSMACross,423,737442.5833333334,Broker,423,11296.660433742574,11296.660433742574,BuySell,423,,,Trades - Net Profit/Loss,423,,
