close,high,low,open,volume,baseVolume,datetime
8983.03,8999.78,8862.4,8969.18,3940.79,35257890.74,2020-01-28 17:00:00
8998.63,9040.0,8965.38,8983.03,1799.39,16210262.02,2020-01-28 18:00:00
9010.86,9039.84,8976.46,8998.63,1174.1,10581778.95,2020-01-28 19:00:00
9061.5,9090.0,9007.74,9010.86,2091.04,18942683.17,2020-01-28 20:00:00
9050.64,9120.0,9038.69,9061.5,1613.2,14651484.02,2020-01-28 21:00:00
9133.0,9163.5,9045.29,9050.64,1499.71,13671968.77,2020-01-28 22:00:00
9374.21,9400.0,9115.55,9133.0,6829.21,63414189.57,2020-01-28 23:00:00
9331.15,9420.82,9316.0,9374.21,4015.0,37604684.03,2020-01-29 00:00:00
9344.24,9385.0,9326.03,9331.15,2014.29,18841048.17,2020-01-29 01:00:00
9323.11,9362.28,9261.32,9344.24,1904.75,17750839.29,2020-01-29 02:00:00
9343.5,9362.53,9308.01,9323.11,1331.17,12433451.01,2020-01-29 03:00:00
9333.79,9379.93,9314.0,9343.5,1372.0,12821811.62,2020-01-29 04:00:00
9355.07,9362.61,9326.13,9333.79,1247.74,11664098.66,2020-01-29 05:00:00
9332.74,9393.04,9330.0,9355.07,2251.47,21075994.49,2020-01-29 06:00:00
9365.0,9370.07,9317.08,9332.74,1970.9,18423076.36,2020-01-29 07:00:00
9387.11,9387.99,9341.78,9365.0,1394.13,13053528.75,2020-01-29 08:00:00
9332.48,9387.52,9319.2,9387.11,2218.41,20728471.12,2020-01-29 09:00:00
9407.93,9434.94,9257.58,9332.48,3901.98,36480818.09,2020-01-29 10:00:00
9303.15,9416.71,9216.0,9407.93,4627.45,43027655.27,2020-01-29 11:00:00
9280.06,9316.8,9250.05,9303.15,1622.43,15067356.0,2020-01-29 12:00:00
9324.07,9351.5,9265.0,9280.06,2569.05,23910373.11,2020-01-29 13:00:00
9329.08,9345.42,9290.0,9324.07,1295.77,12079465.06,2020-01-29 14:00:00
9285.01,9329.48,9279.35,9329.08,1316.53,12241223.44,2020-01-29 15:00:00
9361.2,9366.0,9265.0,9285.01,2030.0,18933655.91,2020-01-29 16:00:00
9343.81,9375.0,9335.01,9361.2,1596.04,14931654.72,2020-01-29 17:00:00
9372.32,9382.36,9341.91,9343.81,1197.44,11215516.75,2020-01-29 18:00:00
9393.98,9415.0,9322.26,9372.32,2387.71,22396480.38,2020-01-29 19:00:00
9386.46,9414.44,9351.73,9393.98,1447.15,13578091.01,2020-01-29 20:00:00
9377.99,9449.24,9330.0,9386.46,2843.53,26675886.21,2020-01-29 21:00:00
9341.99,9386.81,9309.75,9377.99,1206.69,11278004.07,2020-01-29 22:00:00
9301.53,9363.0,9290.0,9341.99,1283.89,11972022.95,2020-01-29 23:00:00
9278.29,9333.97,9204.44,9301.53,3336.48,30908069.67,2020-01-30 00:00:00
9296.36,9298.28,9252.81,9278.29,1252.53,11619368.74,2020-01-30 01:00:00
9252.0,9296.36,9252.0,9296.36,846.04,7844131.0,2020-01-30 02:00:00
9280.3,9292.0,9247.82,9252.0,933.34,8653928.03,2020-01-30 03:00:00
9329.5,9360.0,9277.23,9280.3,1449.73,13532941.22,2020-01-30 04:00:00
9318.0,9353.36,9316.35,9329.5,1310.01,12223012.09,2020-01-30 05:00:00
9325.32,9350.0,9305.0,9318.0,1112.9,10381646.99,2020-01-30 06:00:00
9391.02,9399.0,9325.32,9325.32,2151.66,20161026.0,2020-01-30 07:00:00
9374.02,9408.36,9356.0,9391.02,2060.47,19323175.56,2020-01-30 08:00:00
9364.49,9391.65,9320.01,9374.02,1973.75,18461454.76,2020-01-30 09:00:00
9334.27,9376.98,9327.0,9364.49,1183.08,11062121.62,2020-01-30 10:00:00
9338.21,9361.21,9315.0,9334.27,1464.78,13676405.91,2020-01-30 11:00:00
9375.58,9395.0,9332.29,9338.21,1939.05,18178175.81,2020-01-30 12:00:00
9386.97,9401.0,9351.73,9375.58,1872.32,17567768.67,2020-01-30 13:00:00
9349.82,9412.35,9306.0,9386.97,2748.86,25714102.24,2020-01-30 14:00:00
